Country,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,year2019
Hungary,HUN,40.2462,38.3916,36.537,34.3478,32.1586,29.9694,27.7802,25.591,24.6764,23.7618,22.8472,21.9326,21.018,20.7232,20.4284,20.1336,19.8388,19.544,19.6982,19.8524,20.0066,20.1608,20.315,21.0478,21.7806,22.5134,23.2462,23.979,,
IBRD only,IBD,59.05077201,58.09687289,57.20570695,56.23568153,55.16490466,53.93093924,52.42670478,50.8135443,49.52668015,48.0368211,46.35047629,44.5248485,42.5212918,40.84402144,39.40043757,38.28187469,37.40553094,36.80762167,36.51128016,36.17414642,35.65769702,34.99490969,34.15344426,33.04695848,31.88238305,30.70624506,29.48938578,28.24988936,,
IDA & IBRD total,IBT,72.30389825,71.51017644,70.7962869,70.07399002,69.23974008,68.21995432,66.90168106,65.46465888,64.21675674,62.76730546,61.13045538,59.34798041,57.39107321,55.74393381,54.36541527,53.36775839,52.64459729,52.27312401,52.24065816,52.1827003,51.94030456,51.52571068,50.93288472,50.08909551,49.19166319,48.29055343,47.33632509,46.36324673,,
IDA total,IDA,124.6299947,122.8924706,121.1880187,119.7132994,118.1804165,116.5583219,114.8432874,113.0531149,111.151632,109.268579,107.4297224,105.6551139,103.9422837,102.4913185,101.0763667,99.681833,98.26601181,96.87483442,95.59477389,94.34345329,93.10602336,91.88284883,90.69664331,89.44509392,88.19883096,86.95464545,85.70359501,84.46150463,,
IDA blend,IDB,112.952469,110.7533857,108.5059525,106.5030591,104.4684063,102.3832183,100.1951983,97.97979379,95.83902711,93.68257866,91.47350558,89.18794511,86.8879914,85.38241732,83.91710578,82.5056468,81.06942985,79.6896314,78.87035892,78.14611952,77.47657302,76.8761175,76.38913526,75.42752352,74.49745346,73.57813334,72.62883648,71.69491225,,
Indonesia,IDN,67.038,65.074,63.11,60.0576,57.0052,53.9528,50.9004,47.848,48.6824,49.5168,50.3512,51.1856,52.02,51.917,51.814,51.711,51.608,51.505,51.299,51.093,50.887,50.681,50.475,49.8548,49.2346,48.6144,47.9942,47.374,,
IDA only,IDX,130.4077137,128.914632,127.4979335,126.3053728,125.0399159,123.6626958,122.1999502,120.6285633,118.8453135,117.0976233,115.4534331,113.9593617,112.5815633,111.202648,109.8470659,108.4724539,107.0697874,105.6542985,104.1038459,102.5427726,100.9816591,99.39778871,97.81647445,96.38273368,94.94873999,93.51896872,92.09778251,90.69002956,,
Isle of Man,IMN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,IND,98.7892,96.3826,93.976,90.5516,87.1272,83.7028,80.2784,76.854,73.515,70.176,66.837,63.498,60.159,57.039,53.919,50.799,47.679,44.559,41.2576,37.9562,34.6548,31.3534,28.052,25.077,22.102,19.127,16.152,13.177,,
Not classified,INX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,IRL,16.0202,16.0986,16.177,16.58,16.983,17.386,17.789,18.192,18.3116,18.4312,18.5508,18.6704,18.79,18.2878,17.7856,17.2834,16.7812,16.279,15.1788,14.0786,12.9784,11.8782,10.778,10.1254,9.4728,8.8202,8.1676,7.515,,
"Iran, Islamic Rep.",IRN,86.9396,78.7748,70.61,65.3508,60.0916,54.8324,49.5732,44.314,42.0012,39.6884,37.3756,35.0628,32.75,32.507,32.264,32.021,31.778,31.535,32.1422,32.7494,33.3566,33.9638,34.571,35.7838,36.9966,38.2094,39.4222,40.635,,
Iraq,IRQ,70.4966,68.9758,67.455,66.9284,66.4018,65.8752,65.3486,64.822,64.4874,64.1528,63.8182,63.4836,63.149,65.2888,67.4286,69.5684,71.7082,73.848,74.977,76.106,77.235,78.364,79.493,77.941,76.389,74.837,73.285,71.733,,
Iceland,ISL,27.6654,26.5832,25.501,25.1046,24.7082,24.3118,23.9154,23.519,22.2652,21.0114,19.7576,18.5038,17.25,16.66,16.07,15.48,14.89,14.3,13.312,12.324,11.336,10.348,9.36,8.7418,8.1236,7.5054,6.8872,6.269,,
Israel,ISR,20.3732,19.8576,19.342,19.0042,18.6664,18.3286,17.9908,17.653,17.3328,17.0126,16.6924,16.3722,16.052,15.6492,15.2464,14.8436,14.4408,14.038,13.539,13.04,12.541,12.042,11.543,11.1558,10.7686,10.3814,9.9942,9.607,,
Italy,ITA,8.631,8.187,7.743,7.48,7.217,6.954,6.691,6.428,6.5578,6.6876,6.8174,6.9472,7.077,7.0614,7.0458,7.0302,7.0146,6.999,6.778,6.557,6.336,6.115,5.894,5.7632,5.6324,5.5016,5.3708,5.24,,
Jamaica,JAM,101.1202,99.3876,97.655,96.876,96.097,95.318,94.539,93.76,91.8042,89.8484,87.8926,85.9368,83.981,81.9904,79.9998,78.0092,76.0186,74.028,71.3732,68.7184,66.0636,63.4088,60.754,59.1546,57.5552,55.9558,54.3564,52.757,,
Jordan,JOR,52.697,51.221,49.745,48.0046,46.2642,44.5238,42.7834,41.043,39.7304,38.4178,37.1052,35.7926,34.48,33.7066,32.9332,32.1598,31.3864,30.613,30.1072,29.6014,29.0956,28.5898,28.084,27.6426,27.2012,26.7598,26.3184,25.877,,
Japan,JPN,3.8334,3.7912,3.749,3.8698,3.9906,4.1114,4.2322,4.353,4.6142,4.8754,5.1366,5.3978,5.659,5.55,5.441,5.332,5.223,5.114,4.987,4.86,4.733,4.606,4.479,4.3392,4.1994,4.0596,3.9198,3.78,,
Kazakhstan,KAZ,50.7314,52.2322,53.733,51.404,49.075,46.746,44.417,42.088,39.4958,36.9036,34.3114,31.7192,29.127,28.9122,28.6974,28.4826,28.2678,28.053,28.7044,29.3558,30.0072,30.6586,31.31,30.998,30.686,30.374,30.062,29.75,,
Kenya,KEN,128.2596,121.7598,115.26,114.5068,113.7536,113.0004,112.2472,111.494,110.0352,108.5764,107.1176,105.6588,104.2,102.7784,101.3568,99.9352,98.5136,97.092,94.9042,92.7164,90.5286,88.3408,86.153,83.938,81.723,79.508,77.293,75.078,,
Kyrgyz Republic,KGZ,61.4632,65.1476,68.832,67.5716,66.3112,65.0508,63.7904,62.53,56.894,51.258,45.622,39.986,34.35,33.4292,32.5084,31.5876,30.6668,29.746,32.6004,35.4548,38.3092,41.1636,44.018,41.767,39.516,37.265,35.014,32.763,,
Cambodia,KHM,75.3114,71.0462,66.781,63.727,60.673,57.619,54.565,51.511,50.8464,50.1818,49.5172,48.8526,48.188,47.946,47.704,47.462,47.22,46.978,47.3456,47.7132,48.0808,48.4484,48.816,49.0882,49.3604,49.6326,49.9048,50.177,,
Kiribati,KIR,47.3016,46.6208,45.94,45.064,44.188,43.312,42.436,41.56,39.9484,38.3368,36.7252,35.1136,33.502,32.2492,30.9964,29.7436,28.4908,27.238,26.0172,24.7964,23.5756,22.3548,21.134,20.1426,19.1512,18.1598,17.1684,16.177,,
St. Kitts and Nevis,KNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Rep.",KOR,5.0238,4.5674,4.111,3.874,3.637,3.4,3.163,2.926,2.7788,2.6316,2.4844,2.3372,2.19,2.1518,2.1136,2.0754,2.0372,1.999,1.9524,1.9058,1.8592,1.8126,1.766,1.6886,1.6112,1.5338,1.4564,1.379,,
Kuwait,KWT,28.5146,25.5998,22.685,23.4088,24.1326,24.8564,25.5802,26.304,24.9764,23.6488,22.3212,20.9936,19.666,18.4026,17.1392,15.8758,14.6124,13.349,12.5684,11.7878,11.0072,10.2266,9.446,9.1956,8.9452,8.6948,8.4444,8.194,,
Latin America & Caribbean (excluding high income),LAC,88.20900281,88.0339429,87.87908771,87.57553014,87.27289664,86.96694824,86.64904301,86.33237336,85.37255077,84.40588772,83.42946809,82.44118021,81.44268529,80.00874202,78.5947346,77.20077232,75.81161602,74.43096202,73.31070216,72.1816562,71.04160391,69.88447321,68.71715544,67.72908173,66.73955783,65.74986275,64.73229828,63.72442549,,
Lao PDR,LAO,107.0102,105.9486,104.887,101.9068,98.9266,95.9464,92.9662,89.986,87.442,84.898,82.354,79.81,77.266,76.2206,75.1752,74.1298,73.0844,72.039,71.1644,70.2898,69.4152,68.5406,67.666,67.2148,66.7636,66.3124,65.8612,65.41,,
Lebanon,LBN,48.8446,46.6908,44.537,41.7904,39.0438,36.2972,33.5506,30.804,28.8768,26.9496,25.0224,23.0952,21.168,19.944,18.72,17.496,16.272,15.048,15.3332,15.6184,15.9036,16.1888,16.474,16.0792,15.6844,15.2896,14.8948,14.5,,
Liberia,LBR,169.6886,165.5528,161.417,159.5558,157.6946,155.8334,153.9722,152.111,151.0236,149.9362,148.8488,147.7614,146.674,145.5752,144.4764,143.3776,142.2788,141.18,140.7524,140.3248,139.8972,139.4696,139.042,138.426,137.81,137.194,136.578,135.962,,
Libya,LBY,13.9022,12.8396,11.777,11.0844,10.3918,9.6992,9.0066,8.314,7.9184,7.5228,7.1272,6.7316,6.336,6.3188,6.3016,6.2844,6.2672,6.25,6.225,6.2,6.175,6.15,6.125,6.0538,5.9826,5.9114,5.8402,5.769,,
St. Lucia,LCA,105.0938,99.8604,94.627,89.6626,84.6982,79.7338,74.7694,69.805,66.759,63.713,60.667,57.621,54.575,53.292,52.009,50.726,49.443,48.16,47.3608,46.5616,45.7624,44.9632,44.164,43.4384,42.7128,41.9872,41.2616,40.536,,
Latin America & Caribbean,LCN,87.33290284,87.20967077,87.10434882,86.79024627,86.47729396,86.16101721,85.83432929,85.50769277,84.53495044,83.55360731,82.56075976,81.55437208,80.5361481,79.13030356,77.74344231,76.37687451,75.01936651,73.67086424,72.58846191,71.49962641,70.40281546,69.29663132,68.18289126,67.16443031,66.14577082,65.12532768,64.08009251,63.04329228,,
Least developed countries: UN classification,LDC,135.1502362,133.7405622,132.3999488,131.2352946,129.9934011,128.641744,127.2040747,125.6452841,123.8686448,122.1370022,120.5258156,119.0971806,117.8068336,116.4306722,115.0692795,113.6677267,112.24122,110.7723404,109.0734169,107.3405251,105.5946484,103.7973009,102.0080341,100.3810995,98.7583458,97.14636445,95.5620088,93.99906341,,
Low income,LIC,129.8395243,130.0007043,130.3550394,130.6765835,130.7918489,130.5935845,130.1078963,129.3475218,127.5840506,125.8546705,124.2596278,122.7844575,121.4375949,120.042282,118.6560717,117.2327386,115.7307461,114.2242771,112.372706,110.5644559,108.804762,107.055632,105.339843,103.7490833,102.1701792,100.6065434,99.04845242,97.5156845,,
Liechtenstein,LIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sri Lanka,LKA,30.9842,30.1386,29.293,29.2664,29.2398,29.2132,29.1866,29.16,28.9088,28.6576,28.4064,28.1552,27.904,26.781,25.658,24.535,23.412,22.289,22.2006,22.1122,22.0238,21.9354,21.847,21.6628,21.4786,21.2944,21.1102,20.926,,
Lower middle income,LMC,94.96449546,92.8964587,90.82970742,88.20124565,85.56068366,82.8971991,80.20985018,77.4986021,75.46606668,73.43277153,71.40830115,69.3850505,67.37240917,65.58888344,63.81293841,62.04649709,60.28044799,58.5282202,56.91921495,55.33209488,53.76051288,52.18634516,50.62275053,48.92889506,47.24233567,45.56061268,43.85118607,42.15844557,,
Low & middle income,LMY,72.26468092,71.48674487,70.79644308,70.11873919,69.32332025,68.33039837,67.02630728,65.59314759,64.33422048,62.87019986,61.21523195,59.41664744,57.44408937,55.77988519,54.38668982,53.37663277,52.64206494,52.26061451,52.22347699,52.16089571,51.91303483,51.4935871,50.89658083,50.05487613,49.1592485,48.25954475,47.30683033,46.33479406,,
Lesotho,LSO,88.53,88.206,87.882,87.4072,86.9324,86.4576,85.9828,85.508,85.9944,86.4808,86.9672,87.4536,87.94,87.7282,87.5164,87.3046,87.0928,86.881,87.3072,87.7334,88.1596,88.5858,89.012,89.7548,90.4976,91.2404,91.9832,92.726,,
Late-demographic dividend,LTE,32.20958957,31.35729724,30.65232304,30.37140518,30.05687986,29.63560896,28.99982917,28.27963564,27.6322053,26.79801637,25.77566458,24.62572358,23.30007681,22.30209462,21.50880113,20.99611308,20.71299425,20.70323388,21.20116488,21.73386159,22.13610548,22.40476375,22.49724447,22.21995135,21.90991843,21.62776749,21.33685606,21.02959013,,
Lithuania,LTU,38.999,41.938,44.877,42.2564,39.6358,37.0152,34.3946,31.774,29.6338,27.4936,25.3534,23.2132,21.073,20.6424,20.2118,19.7812,19.3506,18.92,17.8216,16.7232,15.6248,14.5264,13.428,12.9132,12.3984,11.8836,11.3688,10.854,,
Luxembourg,LUX,12.0728,12.2974,12.522,12.0494,11.5768,11.1042,10.6316,10.159,10.4674,10.7758,11.0842,11.3926,11.701,11.286,10.871,10.456,10.041,9.626,8.9816,8.3372,7.6928,7.0484,6.404,6.0686,5.7332,5.3978,5.0624,4.727,,
Latvia,LVA,44.2938,43.8994,43.505,39.1908,34.8766,30.5624,26.2482,21.934,21.0008,20.0676,19.1344,18.2012,17.268,17.4462,17.6244,17.8026,17.9808,18.159,17.585,17.011,16.437,15.863,15.289,15.4654,15.6418,15.8182,15.9946,16.171,,
"Macao SAR, China",MAC,6.696,6.848,7,6.8816,6.7632,6.6448,6.5264,6.408,5.9818,5.5556,5.1294,4.7032,4.277,4.0908,3.9046,3.7184,3.5322,3.346,3.318,3.29,3.262,3.234,3.206,3.041,2.876,2.711,2.546,2.381,,
St. Martin (French part),MAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,MAR,40.4208,38.7584,37.096,36.641,36.186,35.731,35.276,34.821,35.0552,35.2894,35.5236,35.7578,35.992,35.3362,34.6804,34.0246,33.3688,32.713,32.894,33.075,33.256,33.437,33.618,33.1012,32.5844,32.0676,31.5508,31.034,,
Monaco,MCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,MDA,57.35,60.264,63.178,62.1568,61.1356,60.1144,59.0932,58.072,52.6486,47.2252,41.8018,36.3784,30.955,30.1968,29.4386,28.6804,27.9222,27.164,26.8846,26.6052,26.3258,26.0464,25.767,25.0966,24.4262,23.7558,23.0854,22.415,,
Madagascar,MDG,149.3236,149.2648,149.206,150.3886,151.5712,152.7538,153.9364,155.119,153.9898,152.8606,151.7314,150.6022,149.473,146.4332,143.3934,140.3536,137.3138,134.274,131.4256,128.5772,125.7288,122.8804,120.032,117.9436,115.8552,113.7668,111.6784,109.59,,
Maldives,MDV,130.0734,116.3252,102.577,90.959,79.341,67.723,56.105,44.487,40.0056,35.5242,31.0428,26.5614,22.08,20.731,19.382,18.033,16.684,15.335,14.4272,13.5194,12.6116,11.7038,10.796,10.1988,9.6016,9.0044,8.4072,7.81,,
Middle East & North Africa,MEA,69.76747566,65.89941506,62.32294833,59.27893136,56.25239756,53.11856672,50.09500114,47.02847438,45.48012584,43.93950223,42.40821487,40.8265625,39.25404873,39.00501206,38.76802956,38.5350215,38.26990041,38.0170161,38.47159213,38.94341645,39.45218063,40.02511194,40.63096265,40.63950426,40.60177245,40.49882283,40.24269905,39.97067811,,
Mexico,MEX,86.2706,85.5128,84.755,84.4,84.045,83.69,83.335,82.98,81.612,80.244,78.876,77.508,76.14,74.971,73.802,72.633,71.464,70.295,69.43,68.565,67.7,66.835,65.97,64.849,63.728,62.607,61.486,60.365,,
Marshall Islands,MHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle income,MIC,67.21319899,66.22786351,65.30530188,64.38860131,63.35930866,62.14725445,60.644239,59.02050744,57.69914618,56.16890463,54.43677136,52.55774117,50.49791934,48.78213702,47.31572645,46.20114706,45.34479681,44.80032035,44.63300506,44.43742442,44.06646459,43.54241479,42.8490006,41.88744451,40.8753846,39.85907879,38.79651393,37.71535545,,
North Macedonia,MKD,45.389,44.281,43.173,41.4934,39.8138,38.1342,36.4546,34.775,32.5642,30.3534,28.1426,25.9318,23.721,23.1162,22.5114,21.9066,21.3018,20.697,20.1614,19.6258,19.0902,18.5546,18.019,17.5598,17.1006,16.6414,16.1822,15.723,,
Mali,MLI,195.5498,195.9444,196.339,195.2604,194.1818,193.1032,192.0246,190.946,190.0094,189.0728,188.1362,187.1996,186.263,186.1042,185.9454,185.7866,185.6278,185.469,184.1562,182.8434,181.5306,180.2178,178.905,176.9494,174.9938,173.0382,171.0826,169.127,,
Malta,MLT,12.14,12.067,11.994,13.2716,14.5492,15.8268,17.1044,18.382,18.7978,19.2136,19.6294,20.0452,20.461,19.975,19.489,19.003,18.517,18.031,17.0822,16.1334,15.1846,14.2358,13.287,13.2054,13.1238,13.0422,12.9606,12.879,,
Myanmar,MMR,45.413,43.884,42.355,41.6966,41.0382,40.3798,39.7214,39.063,38.668,38.273,37.878,37.483,37.088,36.2962,35.5044,34.7126,33.9208,33.129,32.4684,31.8078,31.1472,30.4866,29.826,29.5626,29.2992,29.0358,28.7724,28.509,,
Middle East & North Africa (excluding high income),MNA,71.1604143,67.30595567,63.46817193,60.47102771,57.4975725,54.52809151,51.56810982,48.55645086,47.07753438,45.59352962,44.11337958,42.62982113,41.15746848,41.0428254,40.951605,40.87664641,40.81094493,40.76139856,41.41362302,42.0777135,42.76533886,43.50580026,44.26239788,44.33732096,44.34149383,44.25901576,44.09890258,43.89061607,,
Montenegro,MNE,28.5948,27.4364,26.278,25.3918,24.5056,23.6194,22.7332,21.847,20.774,19.701,18.628,17.555,16.482,16.929,17.376,17.823,18.27,18.717,17.6396,16.5622,15.4848,14.4074,13.33,12.5266,11.7232,10.9198,10.1164,9.313,,
Mongolia,MNG,36.6048,37.5114,38.418,37.0208,35.6236,34.2264,32.8292,31.432,29.4552,27.4784,25.5016,23.5248,21.548,21.0794,20.6108,20.1422,19.6736,19.205,20.6802,22.1554,23.6306,25.1058,26.581,27.4634,28.3458,29.2282,30.1106,30.993,,
Northern Mariana Islands,MNP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,MOZ,183.0686,185.2118,187.355,187.0854,186.8158,186.5462,186.2766,186.007,185.0464,184.0858,183.1252,182.1646,181.204,179.1288,177.0536,174.9784,172.9032,170.828,168.4914,166.1548,163.8182,161.4816,159.145,157.0412,154.9374,152.8336,150.7298,148.626,,
Mauritania,MRT,105.8032,104.8796,103.956,103.242,102.528,101.814,101.1,100.386,99.0694,97.7528,96.4362,95.1196,93.803,92.2036,90.6042,89.0048,87.4054,85.806,84.4482,83.0904,81.7326,80.3748,79.017,77.4234,75.8298,74.2362,72.6426,71.049,,
Mauritius,MUS,43.4378,43.0044,42.571,41.3146,40.0582,38.8018,37.5454,36.289,36.3276,36.3662,36.4048,36.4434,36.482,36.1596,35.8372,35.5148,35.1924,34.87,33.5722,32.2744,30.9766,29.6788,28.381,27.8518,27.3226,26.7934,26.2642,25.735,,
Malawi,MWI,172.8902,166.1166,159.343,159.6552,159.9674,160.2796,160.5918,160.904,159.866,158.828,157.79,156.752,155.714,155.4768,155.2396,155.0024,154.7652,154.528,152.471,150.414,148.357,146.3,144.243,141.9286,139.6142,137.2998,134.9854,132.671,,
Malaysia,MYS,19.3868,19.2394,19.092,18.2262,17.3604,16.4946,15.6288,14.763,14.4122,14.0614,13.7106,13.3598,13.009,12.9564,12.9038,12.8512,12.7986,12.746,12.8266,12.9072,12.9878,13.0684,13.149,13.202,13.255,13.308,13.361,13.414,,
North America,NAC,53.80402413,54.96522415,56.13171063,54.57628167,53.02249001,51.4735774,49.91783616,48.36450936,46.70246024,45.04430482,43.38649711,41.71677658,40.05094176,39.49268746,38.93475829,38.37233185,37.7803353,37.19370709,35.03965675,32.89254024,30.75246997,28.59377518,26.43571245,24.91439329,23.39954189,21.89034015,20.37352578,18.85597391,,
Namibia,NAM,95.412,93.549,91.686,91.1936,90.7012,90.2088,89.7164,89.224,87.7702,86.3164,84.8626,83.4088,81.955,81.7756,81.5962,81.4168,81.2374,81.058,80.6428,80.2276,79.8124,79.3972,78.982,75.911,72.84,69.769,66.698,63.627,,
New Caledonia,NCL,43.543,42.192,40.841,38.973,37.105,35.237,33.369,31.501,30.1526,28.8042,27.4558,26.1074,24.759,23.986,23.213,22.44,21.667,20.894,20.2538,19.6136,18.9734,18.3332,17.693,17.1204,16.5478,15.9752,15.4026,14.83,,
Niger,NER,223.6904,223.2282,222.766,222.1278,221.4896,220.8514,220.2132,219.575,218.7698,217.9646,217.1594,216.3542,215.549,214.3628,213.1766,211.9904,210.8042,209.618,207.843,206.068,204.293,202.518,200.743,197.902,195.061,192.22,189.379,186.538,,
Nigeria,NGA,148.0054,145.7192,143.433,142.0736,140.7142,139.3548,137.9954,136.636,135.3652,134.0944,132.8236,131.5528,130.282,128.8608,127.4396,126.0184,124.5972,123.176,121.9508,120.7256,119.5004,118.2752,117.05,115.106,113.162,111.218,109.274,107.33,,
Nicaragua,NIC,151.7706,149.5668,147.363,143.4002,139.4374,135.4746,131.5118,127.549,124.5836,121.6182,118.6528,115.6874,112.722,110.6432,108.5644,106.4856,104.4068,102.328,100.6512,98.9744,97.2976,95.6208,93.944,92.1532,90.3624,88.5716,86.7808,84.99,,
Netherlands,NLD,7.0262,7.0686,7.111,6.9232,6.7354,6.5476,6.3598,6.172,6.3648,6.5576,6.7504,6.9432,7.136,6.7676,6.3992,6.0308,5.6624,5.294,5.1248,4.9556,4.7864,4.6172,4.448,4.316,4.184,4.052,3.92,3.788,,
Norway,NOR,16.5796,16.1638,15.748,15.162,14.576,13.99,13.404,12.818,12.2498,11.6816,11.1134,10.5452,9.977,9.7642,9.5514,9.3386,9.1258,8.913,8.3382,7.7634,7.1886,6.6138,6.039,5.8594,5.6798,5.5002,5.3206,5.141,,
Nepal,NPL,131.6496,131.7538,131.858,130.5036,129.1492,127.7948,126.4404,125.086,121.0428,116.9996,112.9564,108.9132,104.87,101.6756,98.4812,95.2868,92.0924,88.898,86.3322,83.7664,81.2006,78.6348,76.069,73.8794,71.6898,69.5002,67.3106,65.121,,
Nauru,NRU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,NZL,32.7844,33.0912,33.398,32.6908,31.9836,31.2764,30.5692,29.862,29.2338,28.6056,27.9774,27.3492,26.721,27.397,28.073,28.749,29.425,30.101,28.6666,27.2322,25.7978,24.3634,22.929,22.1972,21.4654,20.7336,20.0018,19.27,,
OECD members,OED,36.18222278,36.24067685,36.39476402,36.02591719,35.64827893,35.21176733,34.69072432,34.08510195,33.42174178,32.75556128,32.11413578,31.44503029,30.78413212,30.52497926,30.25354579,29.95296563,29.59298909,29.22218495,28.2765015,27.32986177,26.37729434,25.39902529,24.37411993,23.54927116,22.72939505,21.92948766,21.12760459,20.34621465,,
Oman,OMN,81.3142,77.1106,72.907,67.0162,61.1254,55.2346,49.3438,43.453,38.9762,34.4994,30.0226,25.5458,21.069,19.5742,18.0794,16.5846,15.0898,13.595,13.8746,14.1542,14.4338,14.7134,14.993,14.6056,14.2182,13.8308,13.4434,13.056,,
Other small states,OSS,92.79716894,91.49916686,90.30746805,88.79601979,87.28903896,85.76326277,83.92779112,82.0637176,80.80959752,79.54216645,78.26449552,76.86987191,75.43546707,74.42520743,73.41187579,72.40476463,71.27607493,70.23368599,69.23090339,68.31716542,67.47473283,66.47348395,65.53408196,64.82039737,64.10053514,63.33414649,62.47311307,61.55142208,,
Pakistan,PAK,86.0878,83.0524,80.017,76.8746,73.7322,70.5898,67.4474,64.305,61.6674,59.0298,56.3922,53.7546,51.117,49.6102,48.1034,46.5966,45.0898,43.583,43.1674,42.7518,42.3362,41.9206,41.505,40.9644,40.4238,39.8832,39.3426,38.802,,
Panama,PAN,99.8312,98.9136,97.996,97.1934,96.3908,95.5882,94.7856,93.983,93.1198,92.2566,91.3934,90.5302,89.667,89.3196,88.9722,88.6248,88.2774,87.93,87.7162,87.5024,87.2886,87.0748,86.861,85.8544,84.8478,83.8412,82.8346,81.828,,
Peru,PER,82.559,81.407,80.255,78.9782,77.7014,76.4246,75.1478,73.871,73.3986,72.9262,72.4538,71.9814,71.509,71.5174,71.5258,71.5342,71.5426,71.551,69.7044,67.8578,66.0112,64.1646,62.318,61.2308,60.1436,59.0564,57.9692,56.882,,
Philippines,PHL,50.6196,50.8028,50.986,50.6012,50.2164,49.8316,49.4468,49.062,50.024,50.986,51.948,52.91,53.872,54.014,54.156,54.298,54.44,54.582,55.1214,55.6608,56.2002,56.7396,57.279,56.654,56.029,55.404,54.779,54.154,,
Palau,PLW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papua New Guinea,PNG,78.9344,77.3832,75.832,74.9866,74.1412,73.2958,72.4504,71.605,70.2846,68.9642,67.6438,66.3234,65.003,64.2228,63.4426,62.6624,61.8822,61.102,60.1964,59.2908,58.3852,57.4796,56.574,55.7902,55.0064,54.2226,53.4388,52.655,,
Poland,POL,30.599,29.981,29.363,27.2972,25.2314,23.1656,21.0998,19.034,18.3252,17.6164,16.9076,16.1988,15.49,15.5802,15.6704,15.7606,15.8508,15.941,15.6194,15.2978,14.9762,14.6546,14.333,13.574,12.815,12.056,11.297,10.538,,
Pre-demographic dividend,PRE,147.0241973,145.6047652,144.1599357,143.4237936,142.6798384,141.9367211,141.1932643,140.4626119,139.5586074,138.6510881,137.7361821,136.8147035,135.8824979,134.6359482,133.4082697,132.2084614,131.0291267,129.8721202,127.8949978,125.893183,123.8552427,121.7675145,119.659651,117.4683742,115.2904907,113.1416185,111.0213908,108.9288085,,
Puerto Rico,PRI,70.455,71.819,73.183,73.0264,72.8698,72.7132,72.5566,72.4,71.0032,69.6064,68.2096,66.8128,65.416,62.4532,59.4904,56.5276,53.5648,50.602,49.6004,48.5988,47.5972,46.5956,45.594,42.2948,38.9956,35.6964,32.3972,29.098,,
"Korea, Dem. People’s Rep.",PRK,2.3206,2.0378,1.755,1.6532,1.5514,1.4496,1.3478,1.246,1.1888,1.1316,1.0744,1.0172,0.96,0.8928,0.8256,0.7584,0.6912,0.624,0.561,0.498,0.435,0.372,0.309,0.3038,0.2986,0.2934,0.2882,0.283,,
Portugal,PRT,24.2974,23.0712,21.845,21.5594,21.2738,20.9882,20.7026,20.417,20.3734,20.3298,20.2862,20.2426,20.199,19.4064,18.6138,17.8212,17.0286,16.236,15.2716,14.3072,13.3428,12.3784,11.414,10.8072,10.2004,9.5936,8.9868,8.38,,
Paraguay,PRY,92.5868,92.4954,92.404,91.967,91.53,91.093,90.656,90.219,89.1294,88.0398,86.9502,85.8606,84.771,83.4868,82.2026,80.9184,79.6342,78.35,77.2654,76.1808,75.0962,74.0116,72.927,72.4424,71.9578,71.4732,70.9886,70.504,,
West Bank and Gaza,PSE,106.055,108.071,110.087,107.4704,104.8538,102.2372,99.6206,97.004,91.7128,86.4216,81.1304,75.8392,70.548,69.6038,68.6596,67.7154,66.7712,65.827,64.82,63.813,62.806,61.799,60.792,59.1868,57.5816,55.9764,54.3712,52.766,,
Pacific island small states,PSS,62.73999628,62.19351731,61.55062171,59.67285481,57.62738556,55.47178865,53.351688,51.17590431,50.3133088,49.47733557,48.69053081,48.00910616,47.39167584,47.25529289,47.05332596,46.77499024,46.48441038,46.13531447,46.70222459,47.25182639,47.82039688,48.57672851,49.37738859,49.58419475,49.78082739,49.98373239,50.17629672,50.41950061,,
Post-demographic dividend,PST,28.4281169,28.51309149,28.71020684,28.12642782,27.52940728,26.89507587,26.21599621,25.50428967,24.92600945,24.33929634,23.75015661,23.13774076,22.51938281,22.45770392,22.37123338,22.24255497,22.03275063,21.79014453,20.76384026,19.71676358,18.65961192,17.60457481,16.52366446,15.7272978,14.93544371,14.15781164,13.39717628,12.64914528,,
French Polynesia,PYF,63.0312,59.9646,56.898,55.3558,53.8136,52.2714,50.7292,49.187,48.5936,48.0002,47.4068,46.8134,46.22,45.2724,44.3248,43.3772,42.4296,41.482,41.4174,41.3528,41.2882,41.2236,41.159,40.6648,40.1706,39.6764,39.1822,38.688,,
